,miRNA,Target Gene,Target Gene (Entrez Gene ID)
0,mmu-let-7a-5p,ACVR1B,91
1,mmu-let-7a-5p,Apc2,23805
2,mmu-let-7a-5p,Armc2,213402
3,mmu-let-7a-5p,Cts8,56094
4,mmu-let-7a-5p,Gnl3l,237107
5,mmu-let-7a-5p,Hmga2,15364
6,mmu-let-7a-5p,Hoxa9,15405
7,mmu-let-7a-5p,IL6,3569
8,mmu-let-7a-5p,Il13,16163
9,mmu-let-7a-5p,Lin28a,83557
10,mmu-let-7a-5p,Nf2,18016
11,mmu-let-7a-5p,Trim71,636931
12,mmu-let-7b-5p,ACVR1B,91
13,mmu-let-7b-5p,Apc2,23805
14,mmu-let-7b-5p,Armc2,213402
15,mmu-let-7b-5p,Atp2b2,11941
16,mmu-let-7b-5p,Bsg,12215
17,mmu-let-7b-5p,Cts8,56094
18,mmu-let-7b-5p,Gnl3l,237107
19,mmu-let-7b-5p,Msi2,76626
20,mmu-let-7b-5p,Mtpn,14489
21,mmu-let-7b-5p,Nf2,18016
22,mmu-let-7b-5p,Nr2e1,21907
23,mmu-let-7c-5p,Apc2,23805
24,mmu-let-7c-5p,Armc2,213402
25,mmu-let-7c-5p,Cts8,56094
26,mmu-let-7c-5p,EZH2,2146
27,mmu-let-7c-5p,Gnl3l,237107
28,mmu-let-7c-5p,Lin28a,83557
29,mmu-let-7c-5p,Myc,17869
30,mmu-let-7c-5p,Mycn,18109
31,mmu-let-7c-5p,Nf2,18016
32,mmu-let-7c-5p,Sall4,99377
33,mmu-let-7d-5p,Apc2,23805
34,mmu-let-7d-5p,Armc2,213402
35,mmu-let-7d-5p,Cts8,56094
36,mmu-let-7d-5p,Drd3,13490
37,mmu-let-7d-5p,Gnl3l,237107
38,mmu-let-7d-5p,Nf2,18016
39,mmu-let-7e-5p,Apc2,23805
40,mmu-let-7e-5p,Armc2,213402
41,mmu-let-7e-5p,Col1a1,12842
42,mmu-let-7e-5p,Col1a2,12843
43,mmu-let-7e-5p,Col24a1,71355
44,mmu-let-7e-5p,Col27a1,373864
45,mmu-let-7e-5p,Col3a1,12825
46,mmu-let-7e-5p,Cts8,56094
47,mmu-let-7e-5p,Gnl3l,237107
48,mmu-let-7e-5p,Il10,16153
49,mmu-let-7e-5p,Itga1,109700
50,mmu-let-7e-5p,Itga4,16401
51,mmu-let-7e-5p,Nf2,18016
52,mmu-let-7e-5p,Scd1,20249
53,mmu-let-7e-5p,Thbs1,21825
54,mmu-let-7e-5p,Tlr4,21898
55,mmu-let-7e-5p,Trim71,636931
56,mmu-let-7f-5p,Apc2,23805
57,mmu-let-7f-5p,Armc2,213402
