,miRNA,Target Gene,Target Gene (Entrez Gene ID)
0,hsa-let-7a-2-3p,ACSM2B,348158
1,hsa-let-7a-2-3p,ANP32B,10541
2,hsa-let-7a-2-3p,ARID1A,8289
3,hsa-let-7a-2-3p,CALM2,805
4,hsa-let-7a-2-3p,CCNB1,891
5,hsa-let-7a-2-3p,CKS2,1164
6,hsa-let-7a-2-3p,DAZAP2,9802
7,hsa-let-7a-2-3p,FKBP14,55033
8,hsa-let-7a-2-3p,HMGA2,8091
9,hsa-let-7a-2-3p,HMGB2,3148
10,hsa-let-7a-2-3p,HMGXB4,10042
11,hsa-let-7a-2-3p,INCENP,3619
12,hsa-let-7a-2-3p,KLHL15,80311
13,hsa-let-7a-2-3p,KPNA2,3838
14,hsa-let-7a-2-3p,LHFPL6,10186
15,hsa-let-7a-2-3p,LMNB2,84823
16,hsa-let-7a-2-3p,MAP7,9053
17,hsa-let-7a-2-3p,MRPS21,54460
18,hsa-let-7a-2-3p,MYO10,4651
19,hsa-let-7a-2-3p,NCL,4691
20,hsa-let-7a-2-3p,PIAS1,8554
21,hsa-let-7a-2-3p,RAB5C,5878
22,hsa-let-7a-2-3p,RBM27,54439
23,hsa-let-7a-2-3p,RTL8A,26071
24,hsa-let-7a-2-3p,SEL1L3,23231
25,hsa-let-7a-2-3p,SMARCA5,8467
26,hsa-let-7a-2-3p,SNRPB,6628
27,hsa-let-7a-2-3p,ZCCHC2,54877
28,hsa-let-7a-3p,ADH1B,125
29,hsa-let-7a-3p,APOBEC3A,200315
30,hsa-let-7a-3p,ARID1B,57492
31,hsa-let-7a-3p,ASB11,140456
32,hsa-let-7a-3p,CCND1,595
33,hsa-let-7a-3p,CCND2,894
34,hsa-let-7a-3p,CD99,4267
35,hsa-let-7a-3p,CREBZF,58487
36,hsa-let-7a-3p,E2F2,1870
37,hsa-let-7a-3p,E2F8,79733
38,hsa-let-7a-3p,FZD5,7855
39,hsa-let-7a-3p,HBP1,26959
40,hsa-let-7a-3p,IRF2BP2,359948
41,hsa-let-7a-3p,KLHL15,80311
42,hsa-let-7a-3p,LCOR,84458
43,hsa-let-7a-3p,LDLR,3949
44,hsa-let-7a-3p,MYADM,91663
45,hsa-let-7a-3p,NRBF2,29982
46,hsa-let-7a-3p,OCIAD1,54940
47,hsa-let-7a-3p,PHF8,23133
48,hsa-let-7a-3p,PHKA1,5255
49,hsa-let-7a-3p,RBM12B,389677
50,hsa-let-7a-3p,SENP1,29843
51,hsa-let-7a-3p,SHOC2,8036
52,hsa-let-7a-3p,SLC16A14,151473
53,hsa-let-7a-3p,ZNF264,9422
54,hsa-let-7a-3p,ZNF585A,199704
55,hsa-let-7a-5p,ABT1,29777
56,hsa-let-7a-5p,ACOT9,23597
57,hsa-let-7a-5p,ADH5,128
58,hsa-let-7a-5p,AGO1,26523
59,hsa-let-7a-5p,AGO4,192670
60,hsa-let-7a-5p,AK4,205
61,hsa-let-7a-5p,AKAP8,10270
62,hsa-let-7a-5p,ANKRD46,157567
63,hsa-let-7a-5p,AP1S1,1174
64,hsa-let-7a-5p,ARG2,384
65,hsa-let-7a-5p,ARID3B,10620
66,hsa-let-7a-5p,ATG9A,79065
67,hsa-let-7a-5p,ATP6V1F,9296
68,hsa-let-7a-5p,ATP6V1G1,9550
69,hsa-let-7a-5p,ATXN7L3B,552889
70,hsa-let-7a-5p,AURKB,9212
71,hsa-let-7a-5p,BEND4,389206
72,hsa-let-7a-5p,BZW1,9689
73,hsa-let-7a-5p,C11orf57,55216
74,hsa-let-7a-5p,C19orf47,126526
75,hsa-let-7a-5p,C19orf53,28974
76,hsa-let-7a-5p,C1orf210,149466
77,hsa-let-7a-5p,C5orf51,285636
78,hsa-let-7a-5p,CASP3,836
79,hsa-let-7a-5p,CCND1,595
80,hsa-let-7a-5p,CCND2,894
81,hsa-let-7a-5p,CCR7,1236
82,hsa-let-7a-5p,CD59,966
83,hsa-let-7a-5p,CDC34,997
84,hsa-let-7a-5p,CDK6,1021
85,hsa-let-7a-5p,CDKN1A,1026
86,hsa-let-7a-5p,CLDN12,9069
87,hsa-let-7a-5p,COIL,8161
88,hsa-let-7a-5p,CRY2,1408
89,hsa-let-7a-5p,DIABLO,56616
90,hsa-let-7a-5p,DICER1,23405
91,hsa-let-7a-5p,DISC1,27185
92,hsa-let-7a-5p,DNAL1,83544
93,hsa-let-7a-5p,E2F2,1870
94,hsa-let-7a-5p,EGFR,1956
95,hsa-let-7a-5p,EIF4G2,1982
96,hsa-let-7a-5p,EMILIN2,84034
97,hsa-let-7a-5p,ESPL1,9700
98,hsa-let-7a-5p,EWSR1,2130
